ID,Cidade,Estado,Sigla,IBGE,Latitude,Longitude
124,ALMINO AFONSO,RIO GRANDE DO NORTE,RN,2400604,-6.154421,-37.764902
125,ALMIRANTE TAMANDARÉ,PARANÁ,PR,4100400,-25.313516,-49.299590
126,ALMIRANTE TAMANDARÉ DO SUL,RIO GRANDE DO SUL,RS,4300471,-28.155940,-52.910869
127,ALOÂNDIA,GOIÁS,GO,5200506,-17.727798,-49.480934
128,ALPERCATA,MINAS GERAIS,MG,3101805,-18.980362,-41.982764
129,ALPESTRE,RIO GRANDE DO SUL,RS,4300505,-27.251234,-53.034965
130,ALPINÓPOLIS,MINAS GERAIS,MG,3101904,-20.863611,-46.387777
131,ALTA FLORESTA,MATO GROSSO,MT,5100250,-9.871502,-56.083988
132,ALTA FLORESTA D'OESTE,RONDÔNIA,RO,1100015,-11.929692,-61.996128
133,ALTAIR,SÃO PAULO,SP,3500907,-20.533647,-49.053018
134,ALTAMIRA,PARÁ,PA,1500602,-3.204065,-52.209961
135,ALTAMIRA DO MARANHÃO,MARANHÃO,MA,2100402,-4.165911,-45.467243
136,ALTAMIRA DO PARANÁ,PARANÁ,PR,4100459,-24.799114,-52.712863
137,ALTANEIRA,CEARÁ,CE,2300606,-6.998093,-39.738574
138,ALTEROSA,MINAS GERAIS,MG,3102001,-21.249166,-46.143055
139,ALTINHO,PERNAMBUCO,PE,2600807,-8.489956,-36.061404
140,ALTINÓPOLIS,SÃO PAULO,SP,3501004,-21.021364,-47.371200
141,ALTO ALEGRE,RORAIMA,RR,1400050,2.988580,-61.307167
142,ALTO ALEGRE,SÃO PAULO,SP,3501103,-21.611707,-50.150075
143,ALTO ALEGRE,RIO GRANDE DO SUL,RS,4300554,-28.783197,-53.002045
144,ALTO ALEGRE DO MARANHÃO,MARANHÃO,MA,2100436,-4.204670,-44.445448
145,ALTO ALEGRE DO PINDARÉ,MARANHÃO,MA,2100477,-3.668448,-45.848447
146,ALTO ALEGRE DOS PARECIS,RONDÔNIA,RO,1100379,-12.131451,-61.856265
147,ALTO ARAGUAIA,MATO GROSSO,MT,5100300,-17.315653,-53.216936
148,ALTO BELA VISTA,SANTA CATARINA,SC,4200754,-27.433731,-51.906254
149,ALTO BOA VISTA,MATO GROSSO,MT,5100359,-11.672398,-51.374443
150,ALTO CAPARAÓ,MINAS GERAIS,MG,3102050,-20.440566,-41.868380
151,ALTO DO RODRIGUES,RIO GRANDE DO NORTE,RN,2400703,-5.290868,-36.761673
152,ALTO FELIZ,RIO GRANDE DO SUL,RS,4300570,-29.368777,-51.316004
153,ALTO GARÇAS,MATO GROSSO,MT,5100409,-16.946979,-53.529070
154,ALTO HORIZONTE,GOIÁS,GO,5200555,-14.195495,-49.336699
155,ALTO JEQUITIBÁ,MINAS GERAIS,MG,3153509,-20.423611,-41.966111
156,ALTO LONGÁ,PIAUÍ,PI,2200301,-5.254905,-42.207239
157,ALTO PARAGUAI,MATO GROSSO,MT,5100508,-14.513712,-56.477630
158,ALTO PARAÍSO,RONDÔNIA,RO,1100403,-9.695500,-63.376682
159,ALTO PARAÍSO,PARANÁ,PR,4128625,-26.114585,-52.746876
160,ALTO PARAÍSO DE GOIÁS,GOIÁS,GO,5200605,-14.130478,-47.510016
161,ALTO PARANÁ,PARANÁ,PR,4100608,-23.131247,-52.318893
162,ALTO PARNAÍBA,MARANHÃO,MA,2100501,-9.112156,-45.930924
163,ALTO PIQUIRI,PARANÁ,PR,4100707,-24.023902,-53.441745
164,ALTO RIO DOCE,MINAS GERAIS,MG,3102100,-21.023954,-43.413351
165,ALTO RIO NOVO,ESPÍRITO SANTO,ES,3200359,-19.039905,-41.022845
166,ALTO SANTO,CEARÁ,CE,2300705,-5.519037,-38.271935
167,ALTO TAQUARI,MATO GROSSO,MT,5100607,-17.826706,-53.282819
168,ALTÔNIA,PARANÁ,PR,4100509,-23.872200,-53.894037
169,ALTOS,PIAUÍ,PI,2200400,-5.041219,-42.455794
170,ALUMÍNIO,SÃO PAULO,SP,3501152,-23.520348,-47.257526
171,ALVARÃES,AMAZONAS,AM,1300029,-3.214786,-64.814312
172,ALVARENGA,MINAS GERAIS,MG,3102209,-19.417500,-41.728334
173,ÁLVARES FLORENCE,SÃO PAULO,SP,3501202,-20.288500,-49.932234
174,ÁLVARES MACHADO,SÃO PAULO,SP,3501301,-22.065238,-51.467689
175,ÁLVARO DE CARVALHO,SÃO PAULO,SP,3501400,-22.084000,-49.740714
176,ALVINLÂNDIA,SÃO PAULO,SP,3501509,-22.443185,-49.764360
177,ALVINÓPOLIS,MINAS GERAIS,MG,3102308,-20.110520,-43.060180
178,ALVORADA,TOCANTINS,TO,1700707,-12.478465,-49.124926
179,ALVORADA,RIO GRANDE DO SUL,RS,4300604,-29.998118,-51.077251
180,ALVORADA DE MINAS,MINAS GERAIS,MG,3102407,-18.731859,-43.364148
181,ALVORADA DO GURGUÉIA,PIAUÍ,PI,2200459,-8.446943,-43.866160
182,ALVORADA DO NORTE,GOIÁS,GO,5200803,-14.483911,-46.495990
183,ALVORADA DO SUL,PARANÁ,PR,4100806,-22.780727,-51.230772
184,ALVORADA D'OESTE,RONDÔNIA,RO,1100346,-11.346271,-62.284697
185,AMAJARI,RORAIMA,RR,1400027,3.652387,-61.419431
186,AMAMBAI,MATO GROSSO DO SUL,MS,5000609,-23.108272,-55.228489
187,AMAPÁ,AMAPÁ,AP,1600105,1.969500,-50.974745
188,AMAPÁ DO MARANHÃO,MARANHÃO,MA,2100550,-1.676093,-46.012104
189,AMAPORÃ,PARANÁ,PR,4100905,-23.094272,-52.786597
190,AMARAJI,PERNAMBUCO,PE,2600906,-8.373925,-35.453653
191,AMARAL FERRADOR,RIO GRANDE DO SUL,RS,4300638,-30.792461,-52.361589
192,AMARALINA,GOIÁS,GO,5200829,-13.923620,-49.296241
193,AMARANTE,PIAUÍ,PI,2200509,-6.245937,-42.847624
194,AMARANTE DO MARANHÃO,MARANHÃO,MA,2100600,-5.569130,-46.747284
195,AMARGOSA,BAHIA,BA,2901007,-13.030219,-39.604069
196,AMATURÁ,AMAZONAS,AM,1300060,-3.374547,-68.200456
197,AMÉLIA RODRIGUES,BAHIA,BA,2901106,-12.401539,-38.751697
198,AMÉRICA DOURADA,BAHIA,BA,2901155,-11.451591,-41.435656
199,AMERICANA,SÃO PAULO,SP,3501608,-22.739246,-47.330603
200,AMERICANO DO BRASIL,GOIÁS,GO,5200852,-16.251581,-49.980610
201,AMÉRICO BRASILIENSE,SÃO PAULO,SP,3501707,-21.723966,-48.038748
202,AMÉRICO DE CAMPOS,SÃO PAULO,SP,3501806,-20.292000,-49.775633
203,AMETISTA DO SUL,RIO GRANDE DO SUL,RS,4300646,-27.359024,-53.194740
204,AMONTADA,CEARÁ,CE,2300754,-3.364626,-39.828550
205,AMORINÓPOLIS,GOIÁS,GO,5200902,-16.621131,-51.094992
206,AMPARO,PARAÍBA,PB,2500734,-7.563947,-37.046529
207,AMPARO,SÃO PAULO,SP,3501905,-22.696840,-46.791539
208,AMPARO DE SÃO FRANCISCO,SERGIPE,SE,2800100,-10.129975,-36.926910
209,AMPARO DO SERRA,MINAS GERAIS,MG,3102506,-20.507025,-42.802846
210,AMPÉRE,PARANÁ,PR,4101002,-25.915631,-53.472129
211,ANADIA,ALAGOAS,AL,2700201,-9.669500,-36.308348
212,ANAGÉ,BAHIA,BA,2901205,-14.613467,-41.137631
213,ANAHY,PARANÁ,PR,4101051,-24.645086,-53.133796
214,ANAJÁS,PARÁ,PA,1500701,-0.987880,-49.939011
215,ANAJATUBA,MARANHÃO,MA,2100709,-3.264410,-44.617992
216,ANALÂNDIA,SÃO PAULO,SP,3502002,-22.128917,-47.661939
217,ANAMÃ,AMAZONAS,AM,1300086,-3.579736,-61.405000
218,ANANÁS,TOCANTINS,TO,1701002,-6.366305,-48.080238
219,ANANINDEUA,PARÁ,PA,1500800,-1.374035,-48.401662
220,ANÁPOLIS,GOIÁS,GO,5201108,-16.333283,-48.952576
221,ANAPU,PARÁ,PA,1500859,-3.466829,-51.205703
222,ANAPURUS,MARANHÃO,MA,2100808,-3.675130,-43.104600
223,ANASTÁCIO,MATO GROSSO DO SUL,MS,5000708,-20.482292,-55.810353
224,ANAURILÂNDIA,MATO GROSSO DO SUL,MS,5000807,-22.185169,-52.719056
225,ANCHIETA,ESPÍRITO SANTO,ES,3200409,-20.805767,-40.645456
226,ANCHIETA,SANTA CATARINA,SC,4200804,-26.535053,-53.329394
227,ANDARAÍ,BAHIA,BA,2901304,-12.804916,-41.329658
228,ANDIRÁ,PARANÁ,PR,4101101,-23.049476,-50.231003
229,ANDORINHA,BAHIA,BA,2901353,-10.344571,-39.833441
230,ANDRADAS,MINAS GERAIS,MG,3102605,-22.068048,-46.568898
231,ANDRADINA,SÃO PAULO,SP,3502101,-20.894761,-51.378568
232,ANDRÉ DA ROCHA,RIO GRANDE DO SUL,RS,4300661,-28.590090,-51.501951
233,ANDRELÂNDIA,MINAS GERAIS,MG,3102803,-21.739722,-44.308889
234,ANGATUBA,SÃO PAULO,SP,3502200,-23.493894,-48.411067
235,ANGELÂNDIA,MINAS GERAIS,MG,3102852,-17.725300,-42.272800
236,ANGÉLICA,MATO GROSSO DO SUL,MS,5000856,-22.152658,-53.770789
237,ANGELIM,PERNAMBUCO,PE,2601003,-8.890204,-36.287299
238,ANGELINA,SANTA CATARINA,SC,4200903,-27.580529,-48.983876
239,ANGICAL,BAHIA,BA,2901403,-12.005623,-44.700024
240,ANGICAL DO PIAUÍ,PIAUÍ,PI,2200608,-6.087267,-42.736614
241,ANGICO,TOCANTINS,TO,1701051,-6.389373,-47.865672
242,ANGICOS,RIO GRANDE DO NORTE,RN,2400802,-5.666634,-36.600906
243,ANGRA DOS REIS,RIO DE JANEIRO,RJ,3300100,-23.006397,-44.316326
244,ANGUERA,BAHIA,BA,2901502,-12.150969,-39.245251
245,ÂNGULO,PARANÁ,PR,4101150,-23.195834,-51.909498
246,ANHANGUERA,GOIÁS,GO,5201207,-18.333875,-48.220363
247,ANHEMBI,SÃO PAULO,SP,3502309,-22.789110,-48.131678
248,ANHUMAS,SÃO PAULO,SP,3502408,-22.295648,-51.387340
249,ANICUNS,GOIÁS,GO,5201306,-16.460645,-49.957226
250,ANÍSIO DE ABREU,PIAUÍ,PI,2200707,-9.185643,-43.049410
251,ANITA GARIBALDI,SANTA CATARINA,SC,4201000,-26.318420,-48.856278
252,ANITÁPOLIS,SANTA CATARINA,SC,4201109,-27.904118,-49.128739
253,ANORI,AMAZONAS,AM,1300102,-3.743525,-61.660520
254,ANTA GORDA,RIO GRANDE DO SUL,RS,4300703,-28.987218,-51.999236
255,ANTAS,BAHIA,BA,2901601,-10.411465,-38.330881
256,ANTONINA,PARANÁ,PR,4101200,-25.429885,-48.712543
257,ANTONINA DO NORTE,CEARÁ,CE,2300804,-6.775419,-39.987934
258,ANTÔNIO ALMEIDA,PIAUÍ,PI,2200806,-7.221183,-44.194350
259,ANTÔNIO CARDOSO,BAHIA,BA,2901700,-12.436312,-39.120031
260,ANTÔNIO CARLOS,MINAS GERAIS,MG,3102902,-21.318334,-43.746666
261,ANTÔNIO CARLOS,SANTA CATARINA,SC,4201208,-27.517473,-48.768113
262,ANTÔNIO DIAS,MINAS GERAIS,MG,3103009,-19.652500,-42.872778
263,ANTÔNIO GONÇALVES,BAHIA,BA,2901809,-10.571541,-40.274882
264,ANTÔNIO JOÃO,MATO GROSSO DO SUL,MS,5000906,-22.189284,-55.950823
265,ANTÔNIO MARTINS,RIO GRANDE DO NORTE,RN,2400901,-6.215581,-37.889013
266,ANTÔNIO OLINTO,PARANÁ,PR,4101309,-25.984901,-50.197452
267,ANTÔNIO PRADO,RIO GRANDE DO SUL,RS,4300802,-28.854488,-51.280377
268,ANTÔNIO PRADO DE MINAS,MINAS GERAIS,MG,3103108,-21.017199,-42.110111
269,APARECIDA,PARAÍBA,PB,2500775,-22.851552,-45.234092
270,APARECIDA,SÃO PAULO,SP,3502507,-22.851552,-45.234092
271,APARECIDA DE GOIÂNIA,GOIÁS,GO,5201405,-16.822677,-49.245255
272,APARECIDA DO RIO DOCE,GOIÁS,GO,5201454,-18.298017,-51.149131
273,APARECIDA DO RIO NEGRO,TOCANTINS,TO,1701101,-9.951349,-47.977379
274,APARECIDA DO TABOADO,MATO GROSSO DO SUL,MS,5001003,-20.075000,-51.331745
275,APARECIDA D'OESTE,SÃO PAULO,SP,3502606,-20.478000,-50.919250
276,APERIBÉ,RIO DE JANEIRO,RJ,3300159,-21.621193,-42.102817
277,APIACÁ,ESPÍRITO SANTO,ES,3200508,-21.120206,-41.539890
278,APIACÁS,MATO GROSSO,MT,5100805,-9.567842,-57.394852
279,APIAÍ,SÃO PAULO,SP,3502705,-24.507653,-48.846158
280,APICUM-AÇU,MARANHÃO,MA,2100832,-1.526557,-45.077557
281,APIÚNA,SANTA CATARINA,SC,4201257,-27.037466,-49.388504
282,APODI,RIO GRANDE DO NORTE,RN,2401008,-5.663111,-37.796927
283,APORÁ,BAHIA,BA,2901908,-11.659975,-38.079476
284,APORÉ,GOIÁS,GO,5201504,-18.964219,-51.928040
285,APUAREMA,BAHIA,BA,2901957,-13.851790,-39.745713
286,APUCARANA,PARANÁ,PR,4101408,-23.552533,-51.461076
287,APUÍ,AMAZONAS,AM,1300144,-7.194019,-59.883019
288,APUIARÉS,CEARÁ,CE,2300903,-3.946036,-39.431330
289,AQUIDABÃ,SERGIPE,SE,2800209,-10.283758,-37.018869
290,AQUIDAUANA,MATO GROSSO DO SUL,MS,5001102,-20.473969,-55.782137
291,AQUIRAZ,CEARÁ,CE,2301000,-3.902718,-38.388978
292,ARABUTÃ,SANTA CATARINA,SC,4201273,-27.158703,-52.143814
293,ARAÇAGI,PARAÍBA,PB,2500809,-6.851997,-35.383560
294,ARAÇAÍ,MINAS GERAIS,MG,3103207,-19.200833,-44.247500
295,ARACAJU,SERGIPE,SE,2800308,-10.916206,-37.077465
296,ARAÇARIGUAMA,SÃO PAULO,SP,3502754,-23.438611,-47.061389
297,ARAÇÁS,BAHIA,BA,2902054,-12.213918,-38.202616
298,ARACATI,CEARÁ,CE,2301109,-4.558259,-37.767894
299,ARACATU,BAHIA,BA,2902005,-14.427424,-41.460410
300,ARAÇATUBA,SÃO PAULO,SP,3502804,-21.207992,-50.439022
301,ARACI,BAHIA,BA,2902104,-11.335606,-38.957326
302,ARACITABA,MINAS GERAIS,MG,3103306,-21.342500,-43.378611
303,ARACOIABA,CEARÁ,CE,2301208,-4.370258,-38.808431
304,ARAÇOIABA,PERNAMBUCO,PE,2601052,-7.785690,-35.089888
305,ARAÇOIABA DA SERRA,SÃO PAULO,SP,3502903,-23.543740,-47.650753
306,ARACRUZ,ESPÍRITO SANTO,ES,3200607,-19.824522,-40.273502
307,ARAÇU,GOIÁS,GO,5201603,-16.356158,-49.681527
308,ARAÇUAÍ,MINAS GERAIS,MG,3103405,-16.848445,-42.066187
309,ARAGARÇAS,GOIÁS,GO,5201702,-15.895717,-52.251454
310,ARAGOIÂNIA,GOIÁS,GO,5201801,-16.914639,-49.449915
311,ARAGOMINAS,TOCANTINS,TO,1701309,-7.165410,-48.525488
312,ARAGUACEMA,TOCANTINS,TO,1701903,-8.806739,-49.556097
313,ARAGUAÇU,TOCANTINS,TO,1702000,-12.928934,-49.823134
314,ARAGUAIANA,MATO GROSSO,MT,5101001,-15.729144,-51.834112
315,ARAGUAÍNA,TOCANTINS,TO,1702109,-7.193241,-48.201860
316,ARAGUAINHA,MATO GROSSO,MT,5101209,-16.857016,-53.031778
317,ARAGUANÃ,TOCANTINS,TO,1702158,-6.579911,-48.642848
318,ARAGUANÃ,MARANHÃO,MA,2100873,-2.950840,-45.664201
319,ARAGUAPAZ,GOIÁS,GO,5202155,-15.093793,-50.626417
320,ARAGUARI,MINAS GERAIS,MG,3103504,-18.651126,-48.193376
321,ARAGUATINS,TOCANTINS,TO,1702208,-5.652292,-48.115897
322,ARAIOSES,MARANHÃO,MA,2100907,-2.890914,-41.904993
323,ARAL MOREIRA,MATO GROSSO DO SUL,MS,5001243,-22.951141,-55.626842
324,ARAMARI,BAHIA,BA,2902203,-12.090790,-38.498506
325,ARAMBARÉ,RIO GRANDE DO SUL,RS,4300851,-30.913225,-51.499462
326,ARAME,MARANHÃO,MA,2100956,-4.885877,-46.010248
327,ARAMINA,SÃO PAULO,SP,3503000,-20.088088,-47.789914
328,ARANDU,SÃO PAULO,SP,3503109,-23.134510,-49.054565
329,ARANTINA,MINAS GERAIS,MG,3103603,-21.911667,-44.255833
330,ARAPEÍ,SÃO PAULO,SP,3503158,-22.673889,-44.447778
331,ARAPIRACA,ALAGOAS,AL,2700300,-9.754866,-36.661471
332,ARAPOEMA,TOCANTINS,TO,1702307,-7.657500,-49.064148
333,ARAPONGA,MINAS GERAIS,MG,3103702,-20.666667,-42.520556
334,ARAPONGAS,PARANÁ,PR,4101507,-23.415296,-51.425920
335,ARAPORÃ,MINAS GERAIS,MG,3103751,-18.431819,-49.188313
336,ARAPOTI,PARANÁ,PR,4101606,-24.145894,-49.822812
337,ARAPUÁ,MINAS GERAIS,MG,3103801,-19.034444,-46.155556
338,ARAPUÃ,PARANÁ,PR,4101655,-24.307952,-51.790194
339,ARAPUTANGA,MATO GROSSO,MT,5101258,-15.470792,-58.346673
340,ARAQUARI,SANTA CATARINA,SC,4201307,-26.370332,-48.721099
341,ARARA,PARAÍBA,PB,2500908,-6.827189,-35.760570
342,ARARANGUÁ,SANTA CATARINA,SC,4201406,-28.934883,-49.485839
343,ARARAQUARA,SÃO PAULO,SP,3503208,-21.788671,-48.177310
344,ARARAS,SÃO PAULO,SP,3503307,-22.356948,-47.383889
