tweets,sentimento
Uma cena tão simples que me magoou tanto :),Positivo
"Meninada :) A partir de Setembro, darei aulas de Teatro Musical no Paula Marques- Conservatório de Dança e Artes, da AluapDans Companhia Dança Inscrevam-se já, através do site. Têm várias disciplinas artísticas fantásticas e... https://t.co/B7qE9D9Wdt",Positivo
@lucasknust você n vai n ne? :),Positivo
dudaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa que bom que voltou — :) quem é? ❤️ https://t.co/WD4aCYheXS,Positivo
Nao consigo dormir :))))),Positivo
Live on! Cola aí com a gente! :D https://t.co/HwmbQGMLDj,Positivo
"@zavadbr a propósito saudades debinha 💞💕 antes a gente tava se vendo quase todo dia, temos que achar uma nova academia :)",Positivo
"vou nem falar nada, depois a errada sou eu ne :)",Positivo
Vais te arrepender :))),Positivo
@nerd_tricolor Obrigada :) vai dar certo,Positivo
@orochizinho A minha perdeu o sentido 2 segundos após eu nascer :),Positivo
Cheguei a casa :)),Positivo
17. Noite :) credo detesto manhã,Positivo
"Qnd quero mesmo dormir não tenho sono, gr8 :)",Positivo
Eu disse q fugia d dramas :) https://t.co/W6jfTpwpII,Positivo
"@matheusmathiass off, prefiro meu penal, civil, constitucional e internacional publico que me obrigam a ficar na biblioteca :)",Positivo
to orgulhosa de mim :),Positivo
"@CanalGameplayFS @marcelotoledo23 Manolo, aparece nas lives talvez dê pra eu te ajudar de alguma forma :)",Positivo
@Foldpls @jimlink666 Supernova :))),Positivo
"@augxstto eu sei, mas se deixarem eu gravo :)",Positivo
"Te adimiro muito :) pela pessoa humilde que é :) — ahh, obrigada 💕 https://t.co/4reZmd8hoS",Positivo
@marcelaviraes @furmigzz vcs sao engraçados :p,Positivo
19. Nao :p,Positivo
"@tsrdgs não, pq minha mãe reclama todos os dias sem exceção e não aguento mais :) tive a pior briga da minha vida com ela hoje quebrei até a porta batendo de raiva :)",Positivo
fingir demência é smp a melhor opção :),Positivo
ai to muito feliz que eu to percebendo cada vaz mais que minha pele so melhora :D,Positivo
@mariacsoares_ ahhh bom :),Positivo
zé neto e cristiano :)))))))😍😍😍😍😍😍😍😍,Positivo
@AndreCuHz vires aqui adormecer-me funcionava melhor bb :p,Positivo
"QUERO TODOS VOCÊS NO MEU 2019. &lt;3 (Já vou deixar bem claro, para economizar uma enxurrada de status no meu WhatsApp.) :)",Positivo
Se tivesse um namorado não iria ficar loca atrás de música e nem dos meus ídolos o tempo inteiro ou faria ele ouvir minhas músicas :),Positivo
Linda é pouca pra ti gzuis — mt obrigada hehe :) https://t.co/qp1bUltcdN,Positivo
@MiguelJR_26 @DNeveSZ Alexa play “Sou como tu” da Barbie e a Princesa Aldeã :),Positivo
"@kccdrug a nossa, nem sei direito oq é isso ahsbsbbs boa sorte amanha :)",Positivo
"@Ultimate_Carol Faça as Rotas/Finais A, B, C, D e E! :) Você vai surtar quando ver todos esses finais...não tem como não lembrar do Kojima quando você finalizar essas rotas...quando fizer me avisa que te falo por que kkkkk",Positivo
@_cbzz Depois vamos às compras :),Positivo
:) seu anjo https://t.co/XjsiKaRYYr,Positivo
ia morrendo mas pelo menos comi um gelado :),Positivo
Pronto okay Qual é a melhor maneira de resolver os problemas? Bloquear as pessoas :) Adoro https://t.co/ZG1PCCQBSa,Positivo
@Thefranqui Eu sei :) se não eu te mato :),Positivo
@Vileley_05 De nada :),Positivo
@miss_sunoficial eu sei :D,Positivo
"Te acho uma pessoa super simpática, sempre quis ser mais próxima! — Aah, muuito obrigado! Pode vir falar comigo, vou adorar! :D https://t.co/6vRGCji1zb",Positivo
"@tiagosantana Eu não me formei, eu não tive festa de 15 anos. Eu não me casei. Eu nem lembro qual foi a última vez que eu comemorei meu aniversário :)",Positivo
Oi amor 💕 — Oie :) ❤️ https://t.co/j0n5Ter3kl,Positivo
a mudança pode começar pela gente mesmo. beba no copo do conteúdo ou leve seu próprio canudo para os lugares; tem várias opções pela internet com preços bacanas. pequenos gestos já ajudam e muito. só pensar um pouquinho. :) https://t.co/aydJ8vSUwU,Positivo
Update o meu bb trouxe me água :)),Positivo
a karol mostrando o meu daddy que saudades que eu estava :) https://t.co/LFFHj50rVY,Positivo
@mazezaza Olho fechadinho :),Positivo
@pfKat claroo!! chama la que eu te passo meu número qqr coisa :),Positivo
"Amanhã é o dia mais puxado, mas estou aqui rindo pq terei sedimento :)",Positivo
"@brendalimagalhs Aliás, só de falar que ela anda falando mal de ti por aí já é falar mal dela. Entende o que digo? Ninguém sai “limpo” da história. Natural ficar meio chateado. Depois passa e a pessoa vira uma lembrança distante. E os sentimentos vão sendo ressignificados. :)",Positivo
"@donalilian Saquei. A minha ex tem experiência em organizar festas (ela organizou casamento do primo dela), fazer planejamento bonitinho e tals, Posso tentar colocar as duas em contato, vai que ela tem alguma dica pra dar. :)",Positivo
fui inútil de novo e não vou terminar isso a tempo :),Positivo
@tomaslmvicoso Queres vir abrir cabana no lick amanhã e depois seres expulso? :),Positivo
"Maaaas, a vida dá certas reviravoltas pra gente descobrir que n precisa se submeter a certas situações pra ser plena :)",Positivo
"A fila anda, a catraca gira, sentiu saudade? Pode furar a fila pq tu é top :)",Positivo
"Comecei a estudar, ok Interpretação de texto, tudo suave Ai chegou química e matemática Voltei pro twitter :)",Positivo
"@PlanetasDiarios Vamos incentivá-la a fazer memes e jogar vinho no Serra, que ela esquece as outras atividades e todos saem ganhando. :-)",Positivo
"ainda bem que o phill veras existe, suas músicas abraçam tanto :)",Positivo
9999 anos depois mudei de ava :),Positivo
@maionesedealho @TheRealJuliaMNG @kimkim2510 @aquilespintoPT Julguei que tu é que te tinhas interessado pelo que eu disse e tivesses feito um tweet que posteriormente apagaste... :),Positivo
como q vc faz seus desenhos? — A maioria eu faço no Ipad da minha tia com uma caneta q eu improvisei :D https://t.co/xZcVJ6hf5z,Positivo
pelo jeito q a situação ta indo eu n vo consegui fazer o roteiro de química e n vai ter como eu ir no plantão corrigi ai eu vo me fode mais pq agr so vai te aula segunda e na terça eh prova :D,Positivo
"Você é linda, sabia? — mt obrigada anon :) https://t.co/Exv1QJMjTg",Positivo
"Cesariana, mais facil, menos doloroso, nao estraga o prazer de uma boa foda :D https://t.co/Mxm8FGpLEy",Positivo
"@itsbellaribeiro continue tentando! pq nao é com uma/duas conversas q se muda uma opiniao :) (e se estiver falando da """"""""aula"""""""" nao conta)",Positivo
@catarin05832482 @MGeraldo21 @joaoantunesKRT Obrigado pelo elogio :D Mas não respondeste :(,Positivo
Alguns aleatórios de novo :p https://t.co/UETTWtQXBP,Positivo
@txrluiza Apareceu no feed não pude resistir desculpa já estou voltando pra minha capsula de insignificância :),Positivo
o silêncio eh bom vo da ele agr p td :).,Positivo
"@vinilorenzoo Vc pode ir da o cu ou vc pode ir levar um tiro, escolhe :)",Positivo
@SaishoNiiTae vc ta bem? 💜 nos estamos sempre aqui por vc! :),Positivo
@larinhacampos Ahh onde cê tá fazendo?? Me conta depois se vc curtir?? Está nos meus planos pro ano que vem :),Positivo
"@hacktoon Terminar projetos pra quê? O importante é começar outros novos! hahaha Mas justo, tem que aproveitar a motivação. :D",Positivo
"Tvs 1: inglês- 5,0 começamos bem :)",Positivo
@mimiro_rocher @OBQDC miga tá doida posta mais hahahahaha to só te zoando pq vc é a única amiga kpopeira q eu conheço :P,Positivo
"Achei alguém pra cantar pagode comigoo, to feliz :))",Positivo
@babindgomes MANO DO CEU ME CHAMA :)))))),Positivo
último beijo: — Com a q melhor beija :) https://t.co/cZLnMS07NM,Positivo
Prato que serve a todas não mata minha fome. Enquanto não encontro o prato certo eu prefiro fazer regime :),Positivo
Marcelo fala o que acha sobre Vinicius Júnior em entrevista e afirma: ''É o presente e futuro'' Deixe seu like :)...https://t.co/SxTJijcl9R https://t.co/LLt7npEGLH,Positivo
@themattayahu Fique careca :P,Positivo
@_cxmcxm Mas te vale chamaquita :),Positivo
"@lexgladio Ui, conheces? :)",Positivo
Veio achar as arroba do CuriousCat né — Oi arroba :) https://t.co/bF01W7KrJC,Positivo
@damnliz eita kkkjjkkk se quiser conversar ou sei lá ajuda pra alguma coisa pode me chamar :)),Positivo
@gustavocastrow @kohzito @TeamPlay @RlucasMnk @GamersClubBR acontece sim.. :P,Positivo
@alefrits Esse é meu mantra rsrs obrigada :),Positivo
Sejam queridos e mandem me msgs fofas :),Positivo
"@Luaka345 Se olha no espelho, vai ter duas de vc :)",Positivo
@_xuniiiim Confio :p kkkkkk,Positivo
O São José fez a primeira partida no Martins Pereira no dia que faço aniversário!:).,Positivo
@wdobrokenhrtsgo seguindo :),Positivo
To sem nada pra fazer Alguém conta uma história ai :),Positivo
"@alvesslui quem sabe tirar da gaveta aquele projeto de vida feito no passado, que foi interrompido por algum motivo. ninguém nunca esta tão sozinho :)",Positivo
@underpale vai passar mas eu não :))))))),Positivo
@cristina_alme @moon_psyco @theoriesaboutT tem como mandar pra mim também? Thanks :)),Positivo
Eu me escondi atrás do notebook da professora pra apresentar meu trabalho. :D.,Positivo
@fedevigevani Que lindos :D,Positivo
"Rodízio de pizza é a minha perdição, mas dps fico cheia até à ponta dos cabelos e fodo-me :)",Positivo
":-) em São Paulo, Brazil https://t.co/PmCXDLDBbB",Positivo
Não me acordem com mensagens :) https://t.co/JDOZPkOftY,Positivo
"@igorblumenthal Ah, sem contar se ele deixa os amigos falarem isso da mim dele ele não tem nenhum respeito por ela :)",Positivo
@felipeniceas Obrigada! Pra vc tbm :)),Positivo
"@alcavanha São dependentes de curtidas, vidas frustradas...fingindo ser felizes :P",Positivo
"Tão bom ter um porão de açaí, quando teve um dia ruim :) Ajuda muito",Positivo
@ManuelaDavila @LulaOficial @Haddad_Fernando Teu cú :),Positivo
Boa Noite só para quem quebra a dieta e depois prossegue como se nada tivesse acontecido :) https://t.co/N99JOIpmqR,Positivo
"#Julho x #Agosto um pulo de 2,965k #impressoes para 20.5K em Agosto :) #tweet #impressions #tweets #audiences #profile #visits https://t.co/PYYGYZfiLE",Positivo
@jakeprlts @stylezboyz me convidem :),Positivo
@GangarSleeper Entao esta na hr de entrar! Seja bem vindo ao clube da orgia dos carecas Tratarei dos seus dados e encarregar me ei de os averiguar para que seja reconhecido oficialmente como parte da nossa organizacao :),Positivo
@lenas_profile @paramorzao @paramore kkkkkkkk não sei como eu sei mas te acompanho desde o weloveparamore lembra... :P,Positivo
@janineviol Blz entao vc converteu o odio em mim :),Positivo
Haz comida astro tumblr pero salada @maire_wink :),Positivo
@tuanryien as das minhas eu tirava sempre :D nao eh pra fazer isso obvio mas faço toda vez,Positivo
@CancerJack Uma surf school/shop em algum lugar como Bali :),Positivo
Hoje o guima não me xingou :),Positivo
Show do Flogging Molly em outubro :D Vai ser no Carioca Club D:,Positivo
"Trabalho da @BeatrizVelloso e meu. Ela dando aula e eu fazendo toda parte audiovisual. Quem quiser dar aquele RT dos brothers ou indicar pros amigos, seria de grande ajuda. Ah, e se inscrevam no canal. :D https://t.co/zds3eSn6Qn",Positivo
"Eu sou uma pessoa mt lgl, só q as vezes eu me estresso. Se vc quer ser meu amigo, tem q me aguentar nos dois momentos e vc nunca saberá como eu vou estar :)",Positivo
como se eu não tivesse chamado e levado vácuo :),Positivo
@_steixeira_ AHAHAHAHAH fds e eu acabei de lhe mandar mensagem 🤦🏻‍♂️ . Assopra para o ouvido dela :)),Positivo
@teixeiraandre29 Eu comi :),Positivo
@gongchanwoo eu também :):):) eles nao merecem nada de mal,Positivo
@carlabzz_ Já passou a bad? :p,Positivo
Qual o seu videogame favorito? 🕹 — Difícil emm.. todos me marcaram de alguma forma.. desde do Atari.. até o Xbox... todos :) https://t.co/RvlSVbuelq,Positivo
@samanthaweather Sim! Está tão divertido quanto a própria festa :),Positivo
@gbrlmagalhs vai ficar tudo bem :),Positivo
"Mostrei essa foto pra minha madrinha e falei: se eu fosse essa mulher, ia ser um NOJO Ela: bem capaz que eu ia querer ser essa bicha veia sapatao Eu: :))))) https://t.co/hE2lrK5sfK",Positivo
foo :-) : b19e7f7f-ba57-4282-a9a4-d49b34165d2c,Positivo
"Ok, vídeo postado :) Sai amanhã às 11:30 https://t.co/k1Ajm18k2z",Positivo
"@The_Heyungi eu mostrei Hard Carry para essa nojenta (@kookbutterdly ) e ela amou muito,essa música é muito legal e tem uma pegada topp. a Lulu agora é kpopper graças a ela :) então recomendo mostrar Hard Carry,muitos nao Kpoppers curtem muito ela de primeira.",Positivo
@CaioCorraini 2900. Onde tem S9 por 2500? Me interessei. :D,Positivo
"eu tava doida pra comer couve flor gratinada buzinando no ouvido da minha mãe, aí ela comprou as parada pra fazer mas não trouxe creme de leite e acabou que eu não gostei e não só não gostei como também me fez passar mal :)",Positivo
@felipearlen Amanhã é feriado. :),Positivo
Capítulo de ontem :D Não esqueçam de comentar no capítulo &lt;3 🧘‍♀️🧘‍♂️✍️📖💓🎉 https://t.co/Ops67TUFAb,Positivo
Pra quem ainda nao recebeu segue o link :) https://t.co/4YBS6XccMB,Positivo
@nandasr obrigada :),Positivo
Podias era dar-me os parabéns :) @davidcarreira,Positivo
@Dihrexx se vc gostar do emprego (e pagar mais que o youtube...) vale a pena :D,Positivo
"@Estadao @fausto_macedo O PAÍS QUE EU QUERO @RedeGlobo @jornalnacional ? É UM PAÍS onde CADA JORNALISTA e ADVOGADO brasileiro esteja DESEMPREGADO e sem MEIO DE SUBSISTÊNCIA. Um país enfim, justo :)",Positivo
"conversar com joaquim me conforta pq somos muito parecidos em muitos aspectos, ele me entende pra caramba, isso eh bom :)",Positivo
@jealouswhyy eu sempre. O único talento que eu tenho é comer e dormir :),Positivo
"@asswheeler oi , tu é muito linda viu ? :)",Positivo
"Grupo no WhatsApp para camren shippers/camilizers/harmonizers ❤️❤️🌈 Não só sobre isso, mas diversos assuntos :) Quem quiser só mandar *nome, idade e número do celular( com DDD)* na DM!!🌈🌈🌈❤️",Positivo
Depois desta noite só me resta ir pra casa a pensar nos grandes amigos que tenho :),Positivo
@b_Telho Boa noite :),Positivo
"Primeira semana de aula, horário babaca, previsão de frio... entendo muitos que estão chateados com a baixa procura de ingressos, mas usar esse jogo de quinta pra passar pano pra ingresso caro no Allianz é sacanagem. Compara com a semi do Paulistão contra o Santos então :)",Positivo
"Qual o seu videogame favorito? 🕹 — Super Nintendo, um clássico... foi meu primeiro :) https://t.co/X9SsbYjYeS",Positivo
"@darllab__ kkkkkkkkkkkkkkk sei mt bem qual é a sensação, boa sorte :)",Positivo
"@folha O PAÍS QUE EU QUERO @RedeGlobo @jornalnacional ? É UM PAÍS onde CADA JORNALISTA e ADVOGADO brasileiro esteja DESEMPREGADO e sem MEIO DE SUBSISTÊNCIA. Um país enfim, justo :)",Positivo
sim mas eu vi que vc tava gravando um podcast no celular ai não quis atrapalhar :P hauahauahauah https://t.co/eGTMkIwO2d,Positivo
@RafaelCananea E foi mais ou menos assim que eu fui assaltado mês passado :),Positivo
Saideira sempre me animando :),Positivo
ela so mandou uma carinha :) e sumiu acho q ficou assustada,Positivo
@marvynmesquita Não precisa não :) Essa lista do print já é dos vídeos q eu movi pra lista que aprovei. Os q a gente dá strike fica em outra lista haha,Positivo
"Descreva quem vc vai ser com 30 anos — Profissinal na area q eu gosto, morando fora, com um filho e um marido :) https://t.co/t4bL0qgZDf",Positivo
@leonardo_stoppa 22:30 acompanha as boas reflexões para sair do senso comum :) #leoStoppa #política #informação https://t.co/bFbg2pnLSR,Positivo
"@OriginaIsNews você entende português né? mais fácil pra mim kkkkk parece que não é bem isso, apenas um personagem principal vai morrer então acredito que não será ela e nem o conrad :)",Positivo
"Vai fazer um ano que a karol me deu rt e eu acho que smp vai ser o único, mas eu me contento com ele pq afinal eu nem esperava :)",Positivo
@douglascarbonii tudo bem? :D,Positivo
7 anos q me conhece e nao lembra disso :),Positivo
toda semana uma mania diferente :p,Positivo
Hoje eu abracei um policial pela primeira vez :),Positivo
@jaoprodrigues11 @lele_bosio Sai bjando de boca em boca :),Positivo
@its_kemilly Obrigadaa :)),Positivo
dois dias felizes seguidos :),Positivo
Fala do André Freitas ouvi dizer que vcs se dão bué bem — És fixe e preverso :))) https://t.co/8mfvJIO2KL,Positivo
"@ludimiila + em relação a isso. i mean, por um bom tempo essas áreas são majoritariamente masculinas, então era bom acima de tudo, dar apoio emocional, mostrar como elas são tão capazes quanto e que o gênero não deveria influenciar na sua escolha de trabalho :)",Positivo
"""não me apetece"" ""não quero"" ""como queiras"" E cenas do género são sempre boas ouvir :)",Positivo
e ela acreditou entao :p,Positivo
porran pensei que não pegava ninguém. flertando com os outros — segue anexo :p https://t.co/hZtVktx2TQ,Positivo
"@MarianaGS44 Eu fui ao baile, bebi uma imperial, não estou a seca :))",Positivo
"Amanhã é aniversário de 15 anos da minha prima mas quem tá se sentindo idosa sou eu. Tempo, vai devagar por favor, obrigada :) @helenamiele7",Positivo
@jubsxx Vai ao cinema sozinha :) É muito bom! Recomendo,Positivo
"@Leandro_Hound @joicehasselmann @jairbolsonaro @GuilhermeBoulos Tu sabes mais do que todos nós da vida do Bolsonaro :) Acho que mais que a mulher dele, inclusive.",Positivo
Se passar no trilho errado os menor estão na atividade.. :),Positivo
@antoniamends sou eu :),Positivo
@carol_spillere Bem vinda a Brasília! :),Positivo
"acabaram com minha noite, mt obrigada aos envolvidos, vocês conseguiram!! :)",Positivo
mas cresce rápido :D,Positivo
muito feliz que depois de ontem hoje o dia foi muito bom inclusive fui convocada pra traduzir o artigo que a gente vai produzir no grupo de estudos eu fiquei :D carreira internacional começa Agora,Positivo
@fabianaduffles Mete bronca! O ódio e as injustiças alimentam essa Rede :D,Positivo
"@pauloferreira1 @IrinaMelo Se fosse o presidente eleito dos EUA, ou da Russia ou da China (que não foi eleito democraticamente) havia toda esta confusão? A pessoa convidada foi candidata a presidente de outro país da UE e perdeu. Convidem também o vencedor e por mim fica resolvido :)",Positivo
@OdeCarvalho Bem vindoooooo vivaaaa!!! :D,Positivo
"mas gente como dizer pro boy que não quero mais vê-lo porq estou me apegando?????$:@3@!493$:)/82$,&amp;;",Positivo
Kkkkkk ansioso pra dar pala :)),Positivo
"@ifsdefsoul Aaaah obrigada ! &lt;3 Se eu voltar a escrever, eu te mostro :)",Positivo
"Tenho 6 horas para dormir, que bom :)",Positivo
@henriquepthome chora nn :),Positivo
@rlthingy Indo :),Positivo
"@lu__marins @naruhodopodcast Obrigado, fico lisonjeado :) Mande perguntas pro naruhodo caso apareça, quem sabe alguma delas não vira um episódio!",Positivo
"cara sim, namorado se vc esta lendo isso torça para o mesmo time que eu :) https://t.co/IZZAhzQZQy",Positivo
"@RaUL_AMDERLAINE caralho, que fim de carreira :)",Positivo
Jonata Rubio Sodre agora vão obrigar a gente a jogar o 2d20 de qqer maneira... :P https://t.co/EVg5KJDqcG,Positivo
Conhecer uma pessoa e esporadicamente ver ela em determinado lugar são coisas bem diferentes para a minha pessoa. :),Positivo
@Eruvu_isu @MairusuP No problem :D,Positivo
"@KauDavidTv2 Beleza :-) Precisando é só chamar, forte abraço!!!",Positivo
Exatamente o único signo que não tolero minha alma gêmea :))) https://t.co/qQrBjEtk7o,Positivo
"Ei moça, não abuse da intimidade que nós NÃO temos!!!! Agradeço a atenção :)",Positivo
Felicidades :) https://t.co/KNu0mpeAHX,Positivo
@ETDABIKE @safbf Procura melhor que acha. Lá tem tudo :),Positivo
"Caraca. Sofri uma entorse de tornozelo bem agressiva faz 1 mês e pouco, Estou me recuperando ainda ,Nuca pensei que entorse podia ser tão grave assim,demorada,Se agente não se controla agente fica louco,Mais isso me fez ver o quanto minha família é meu refúgio :)",Positivo
Hj eu me superei. Tão bom fazer o que tem que ser feito :),Positivo
essa música me remete ao tempo q estudava no barãozinho q sddddds :) #TheVoiceBrasil,Positivo
mandei uma mensagem agora que eu estava querendo mandar faz dias to feliz que perdi a vergonha :),Positivo
Bem feito trouxa :),Positivo
Tou mesmo a querer dar me cntg outra vez ;D — Same!! :))) https://t.co/Gr5SdFAsVL,Positivo
@margaridasvvvv Já somos 2 :))),Positivo
"eu e as gurias contando umas histórias de pais e vendo q somos as cópias das nossas mães: amiga 1- minha mãe era doidinha, igual a mim 2- ah, a minha mãe era quietinha mas ficava c um monte de cara me: minha mãe corria dos machos q vinham falar c ela :)",Positivo
@edavidaniel ai só quero att :),Positivo
Ja fiz minha boa ação do dia :),Positivo
"@Dudu Mandei uma caralhada de currículos porque quero voltar para sampa, e ser útil para o entretenimento da sociedade. Serve? :)",Positivo
GGwp 3-0 contra a Revoltz e estamos classificados para os playoffs da GGBET! Valeu a todos pela torcida :) #GOSANTOS,Positivo
"cadê tu? bora parecer pra gente trocar umas ideias :D — eu tava numa chamada com a May, Desculpa, tava desabafando com o meu amorzinho dndndnd https://t.co/3UUcdZ9l8q",Positivo
morrendo por dentro a cada dia q passa :))),Positivo
Nunca tive ninguém :) :( https://t.co/oZnCLtYY9U,Positivo
@emikomatsud MAGINE incomodo nenhum!! so me passaires o endereço de e-mail que te mando aqui rapidim :),Positivo
parece meus finais de semana q coincidencia — :)) https://t.co/nlRQbTDxj2,Positivo
Primeira batalha e acho que os dois deveriam ficar :),Positivo
"Como foi seu dia? :) — Quis morrer dentro daquele exército mas pelo menos não aconteceu nada de torturante, chorei três... https://t.co/ZffbiO1HIy",Positivo
vontade de fazer parte de uma comunidade de alguma coisa.. tipo sonic ou Kirby sabe~ :l vo tentar me infiltrar em algo :),Positivo
"quem minkyung deve responder primeiro? obs.: essa é a primeira enquete da au, que já modifica as próximas atualizações. escolham sabiamente :)",Positivo
@rodandopelavida Fala pra organizar o meu q é em setembro pfvr Eu curto mt aniversário mas odeio ter q organizar :p,Positivo
